,quantity_sold
quantity_sold,1.0
total_sales_amount,0.5259471524472672
profit_value,0.5000110498130024
tax_amount,0.4839024749641262
customer_loyalty_points_redeemed,0.14078795166028943
reorder_lead_time_days,0.13139226768949788
stock_received_qty,0.11412456583667897
returns_refund_amount,0.11410984092129522
customer_days_since_last_purchase,0.10553286261282818
stock_sold_qty,0.0949454578203194
reorder_reorder_qty,0.0902527279075773
stock_opening_stock_qty,0.08869592383415145
reorder_reorder_cost,0.08757821700774929
customer_total_purchases,0.08710136240615218
margin,0.08138258703933102
customer_satisfaction_score,0.07957189031770039
customer_loyalty_points_earned,0.07120369651736022
promo_discount_applied,0.06552559477464147
impact_impact_factor_value,0.06517505185028998
promo_promo_uplift_revenue,0.06210870757606444
forecast_actual_quantity,0.061177353375184346
customer_total_visits,0.05586502080268389
stock_closing_stock_qty,0.05169785271336423
returns_quantity_returned,0.050893528373350636
returns_loss_value,0.045658971199960784
reorder_reorder_point_qty,0.04544788149550057
impact_impact_percentage_change,0.045210096696745555
promo_total_quantity_sold,0.04367842137472247
forecast_forecast_quantity,0.03445318484531898
impact_trend_influence_score,0.034100655968137404
stock_stock_age_days,0.024308985883434782
stock_stock_value,0.023960031473712454
forecast_model_accuracy_score,0.012743169435188252
customer_referred_customers_count,0.0037586275037808465
stock_in_transit_qty,-0.00015581071916852322
promo_total_sales_amount,-0.0032692999634413166
reorder_supplier_rating,-0.012368375601666665
customer_avg_purchase_value,-0.01709409695752794
impact_impact_duration_days,-0.018127095364208853
impact_sales_after_impact,-0.023527010050990015
promo_new_customers_acquired,-0.025101378690792448
impact_sales_before_impact,-0.035381319150739714
stock_reserved_qty,-0.052617184299786374
forecast_demand_variance,-0.07013108233781286
promo_promo_cost,-0.0716709109740432
reorder_current_stock_qty,-0.08194654745728756
discount_applied,-0.09040404747945267
stock_damaged_qty,-0.09294245613774035
forecast_forecast_error_pct,-0.10073061182134677
stock_returned_qty,-0.11188677971769509
avg_order_value,-0.11204522177554091
unit_price,-0.11545132578391357
forecast_forecast_error_value,-0.1179064014422702
reorder_delay_days,-0.11982957197521728
reorder_avg_demand_per_day,-0.12178727365841764
impact_weather_influence_score,-0.16746138815850387
transaction_id,
product_id,
store_id,
customer_id,
sales_channel_id,
promo_id,
event_id,
payment_type,
invoice_no,
sales_status,
created_at,
customer_time_id,
customer_coupon_used,
customer_created_at,
customer_updated_at,
promo_time_id,
promo_transaction_id,
reorder_vendor_id,
reorder_time_id,
reorder_reorder_status,
reorder_expected_delivery_date,
reorder_actual_delivery_date,
stock_time_id,
forecast_time_id,
forecast_forecast_method,
forecast_forecast_model_name,
forecast_forecast_period_start,
forecast_forecast_period_end,
forecast_model_version,
forecast_last_trained_date,
impact_impact_type,
impact_impact_category,
returns_return_id,
returns_return_reason,
returns_return_type,
returns_return_status,
returns_return_approval_date,
returns_return_method,
returns_inspection,
